Name,State,Republican_Democrat,House_Senate,Years_in_office,Joined_Twitter,Twitter_ID,X8,Tweets
Mike D Rogers,Alabama,R,H,2003-Present,9-Apr,@RepMikeRogersAL,NA,3823
Martha Roby,Alabama,R,H,2001-present,10-Dec,@RepMarthaRoby,NA,7790
Terri Sewell,Alabama,D,H,2011- present,11-Sep,@RepTerriSewell,NA,4576
Bradley Byren,Alabama,R,H,2013-Present,13-Dec,@RepByrne,NA,12.3K
Raul M. Grijalva,Arizona,D,H,2003-Present,9-Apr,@RepRaulGrijalva,NA,3892
Paul Gosar,Arizona,R,H,2013-Present,11-Jan,@RepGosar,NA,8700
David Schweikert,Arizona,R,H,2011- present,10-Dec,@RepDavid,NA,3403
Krysten Sinema,Arizona,D,H,2013-Present,13-Jan,@RepSinema,NA,10.9k
John Boozman,Arkansas,R,H,2001-2011,7-Apr,ALREADY IN THE SENATE,NA,3949
Rick Crawford,Arkansas,R,H,2011- present,11-Jan,@RepRickCrawford,NA,4595
Tim Griffin(Now Governor),Arkansas,R,H,2011-2015,10-Oct,@LtGovTimGriffin,NA,7749
Steve Womack,Arkansas,R,H,2011- present,11-Jan,@rep_stevewomack,NA,5336
Tom Cotton,Arkansas,R,H,2013-2015,NA,ALREADY IN THE SENATE,NA,7773
Bruce Westerman,Arkansas,R,H,2015-Present,14-Oct,@RepWesterman,NA,4215
Mike Thompson,California,D,H,1999-Present,11-May,@RepThompson,NA,6381
Nancy Pelosi,California,D,H,1987-Present,8-Aug,@NancyPelosi,NA,7397
Barbara Lee,California,D,H,1990-Present,11-Feb,@RepBarbaraLee,NA,7645
Jackie Speier,California,D,H,Bunch of times but 2013-present,9-Mar,@RepSpeier,NA,4599
Kevin McCarthy,California,R,H,2004-Present,9-Jan,@GOPLeader,NA,9414
Adam Schiff,California,D,H,1996-present,9-Apr,@RepAdamSchiff,NA,4550
Xavier Becerra,California,D,H,1992-2017,10-Apr,@AGBecerra,NA,4315
Hilda Solis,California,D,H,2003-2009 and 2014-Present,14-Mar,@HildaSolis,NA,7422
Lucille Roybal-Allard,California,D,H,1993-Present,12-Jan,@RepRoybalAllard,NA,4385
Edward R. Royce,California,R,H,1993-Present,11-Feb,@RepEdRoyce,NA,4193
Ken Calvert,California,R,H,1993-Present,9-Mar,@KenCalvert,NA,4725
Mary Bono,California,R,H,1998-2013,9-Jan,@MaryBonoUSA,NA,7232
Dana Rohrabacher,California,R,H,1989-Present,9-Jan,@DanaRohrabacher,NA,13k
